Categoria,Porcentagem
Object-Oriented Programming,0.014760147601476014
Next Generation Databases,0.0036900369003690036
P,0.0036900369003690036
Client-Server,0.04059040590405904
Software Engineering,0.05904059040590406
Computer Graphics,0.02214022140221402
Algorithmic Art,0.0036900369003690036
Programming,0.04428044280442804
Networking,0.025830258302583026
Web Development,0.06273062730627306
Internet,0.15129151291512916
Mobile Technology,0.02214022140221402
java,0.0036900369003690036
Software Development,0.0036900369003690036
Java,0.35424354243542433
Business,0.04428044280442804
Microsoft/.NET,0.0036900369003690036
SOA,0.0036900369003690036
PowerBuilder,0.025830258302583026
PHP,0.0036900369003690036
In Action,0.0036900369003690036
S,0.0036900369003690036
Perl,0.02214022140221402
internet,0.0036900369003690036
Open Source,0.007380073800738007
XML,0.014760147601476014
Mobile,0.0036900369003690036
Microsoft .NET,0.12546125461254612
Computer Graph,0.0036900369003690036
Microsoft,0.02952029520295203
Object-Technology Programming,0.0036900369003690036
Python,0.02214022140221402
Client Server,0.0036900369003690036
Theory,0.025830258302583026
Miscellaneous,0.007380073800738007
.NET,0.0036900369003690036
Miscella,0.0036900369003690036
